"period_year","section_bs","account","total_amount"
2020,"Assets","Assets","0"
2021,"Assets","Cash","328461.77"
2021,"Assets","Accounts Receivable","65872.21"
2021,"Assets","Inventory","1149234.55"
2021,"Assets","Property, Land and Equipment","39250.00"
2021,"Assets","Assets","1582818.53"
2022,"Assets","Cash","432893.70"
2022,"Assets","Accounts Receivable","58890.30"
2022,"Assets","Inventory","1253043.59"
2022,"Assets","Property, Land and Equipment","65500.00"
2022,"Assets","Assets","1810327.59"
2023,"Assets","Cash","498273.12"
2023,"Assets","Inventory","1252914.59"
2023,"Assets","Property, Land and Equipment","109750.00"
2023,"Assets","Assets","1860937.71"
2024,"Assets","Property, Land and Equipment","172000.00"
2024,"Assets","Assets","172000.00"
2025,"Assets","Property, Land and Equipment","252250.00"
2025,"Assets","Assets","252250.00"
2026,"Assets","Property, Land and Equipment","350500.00"
2026,"Assets","Assets","350500.00"
2027,"Assets","Property, Land and Equipment","466750.00"
2027,"Assets","Assets","466750.00"
2028,"Assets","Property, Land and Equipment","601000.00"
2028,"Assets","Assets","601000.00"
2029,"Assets","Property, Land and Equipment","753250.00"
2029,"Assets","Assets","753250.00"
2030,"Assets","Property, Land and Equipment","923500.00"
2030,"Assets","Assets","923500.00"
2031,"Assets","Property, Land and Equipment","938500.00"
2031,"Assets","Assets","938500.00"
2032,"Assets","Assets","0"
2033,"Assets","Assets","0"
2034,"Assets","Assets","0"
2035,"Assets","Assets","0"
2036,"Assets","Assets","0"
2037,"Assets","Assets","0"
2038,"Assets","Assets","0"
2039,"Assets","Assets","0"
2040,"Assets","Assets","0"
2041,"Assets","Assets","0"
2042,"Assets","Assets","0"
2043,"Assets","Assets","0"
2044,"Assets","Assets","0"
2045,"Assets","Assets","0"
2046,"Assets","Assets","0"
2047,"Assets","Assets","0"
2048,"Assets","Assets","0"
2049,"Assets","Assets","0"
2050,"Assets","Assets","0"
2020,"Liabilities","Liabilities","0"
2021,"Liabilities","Loan","1196666.67"
2021,"Liabilities","Liabilities","1196666.67"
2022,"Liabilities","Loan","1066666.67"
2022,"Liabilities","Liabilities","1066666.67"
2023,"Liabilities","Liabilities","0"
2024,"Liabilities","Liabilities","0"
2025,"Liabilities","Liabilities","0"
2026,"Liabilities","Liabilities","0"
2027,"Liabilities","Liabilities","0"
2028,"Liabilities","Liabilities","0"
2029,"Liabilities","Liabilities","0"
2030,"Liabilities","Liabilities","0"
2031,"Liabilities","Liabilities","0"
2032,"Liabilities","Liabilities","0"
2033,"Liabilities","Liabilities","0"
2034,"Liabilities","Liabilities","0"
2035,"Liabilities","Liabilities","0"
2036,"Liabilities","Liabilities","0"
2037,"Liabilities","Liabilities","0"
2038,"Liabilities","Liabilities","0"
2039,"Liabilities","Liabilities","0"
2040,"Liabilities","Liabilities","0"
2041,"Liabilities","Liabilities","0"
2042,"Liabilities","Liabilities","0"
2043,"Liabilities","Liabilities","0"
2044,"Liabilities","Liabilities","0"
2045,"Liabilities","Liabilities","0"
2046,"Liabilities","Liabilities","0"
2047,"Liabilities","Liabilities","0"
2048,"Liabilities","Liabilities","0"
2049,"Liabilities","Liabilities","0"
2050,"Liabilities","Liabilities","0"
2020,"Owners Equity","Retained Earnings","0.00"
2020,"Owners Equity","Owners Equity","0.00"
2021,"Owners Equity","Owners Equity","386151.86"
2021,"Owners Equity","Retained Earnings","386151.86"
2022,"Owners Equity","Retained Earnings","743660.92"
2022,"Owners Equity","Owners Equity","743660.92"
2023,"Owners Equity","Retained Earnings","794271.04"
2023,"Owners Equity","Owners Equity","794271.04"
2024,"Owners Equity","Retained Earnings","856521.04"
2024,"Owners Equity","Owners Equity","856521.04"
2025,"Owners Equity","Owners Equity","936771.04"
2025,"Owners Equity","Retained Earnings","936771.04"
2026,"Owners Equity","Retained Earnings","1035021.04"
2026,"Owners Equity","Owners Equity","1035021.04"
2027,"Owners Equity","Retained Earnings","1151271.04"
2027,"Owners Equity","Owners Equity","1151271.04"
2028,"Owners Equity","Retained Earnings","1285521.04"
2028,"Owners Equity","Owners Equity","1285521.04"
2029,"Owners Equity","Owners Equity","1437771.04"
2029,"Owners Equity","Retained Earnings","1437771.04"
2030,"Owners Equity","Retained Earnings","1608021.04"
2030,"Owners Equity","Owners Equity","1608021.04"
2031,"Owners Equity","Owners Equity","1623021.04"
2031,"Owners Equity","Retained Earnings","1623021.04"
2032,"Owners Equity","Owners Equity","1623021.04"
2032,"Owners Equity","Retained Earnings","1623021.04"
2033,"Owners Equity","Owners Equity","1623021.04"
2033,"Owners Equity","Retained Earnings","1623021.04"
2034,"Owners Equity","Owners Equity","1623021.04"
2034,"Owners Equity","Retained Earnings","1623021.04"
2035,"Owners Equity","Retained Earnings","1623021.04"
2035,"Owners Equity","Owners Equity","1623021.04"
2036,"Owners Equity","Retained Earnings","1623021.04"
2036,"Owners Equity","Owners Equity","1623021.04"
