"period_year","transaction_type","total_amount"
2020,"Retained Earnings - Beginning Balance","0.00"
2020,"Net Income","0.00"
2021,"Retained Earnings - Beginning Balance","0.00"
2021,"Revenue","1603800.21"
2021,"Cost of Goods Sold","-1062231.69"
2021,"Depreciation","8250.00"
2021,"Tax Expeses","-15000.00"
2021,"Interest Expeses","-20666.66"
2021,"Wage Expeses","-69000.00"
2021,"Operational Expeses","-59000.00"
2021,"Net Income","386151.86"
2022,"Retained Earnings - Beginning Balance","386151.86"
2022,"Revenue","1534172.95"
2022,"Cost of Goods Sold","-1015681.89"
2022,"Depreciation","26250.00"
2022,"Tax Expeses","-17000.00"
2022,"Interest Expeses","-26000.00"
2022,"Wage Expeses","-80500.00"
2022,"Operational Expeses","-63732.00"
2022,"Net Income","743660.92"
2023,"Retained Earnings - Beginning Balance","743660.92"
2023,"Revenue","19140.58"
2023,"Cost of Goods Sold","-12780.46"
2023,"Depreciation","44250.00"
2023,"Net Income","794271.04"
2024,"Retained Earnings - Beginning Balance","794271.04"
2024,"Depreciation","62250.00"
2024,"Net Income","856521.04"
2025,"Retained Earnings - Beginning Balance","856521.04"
2025,"Depreciation","80250.00"
2025,"Net Income","936771.04"
2026,"Retained Earnings - Beginning Balance","936771.04"
2026,"Depreciation","98250.00"
2026,"Net Income","1035021.04"
2027,"Retained Earnings - Beginning Balance","1035021.04"
2027,"Depreciation","116250.00"
2027,"Net Income","1151271.04"
2028,"Retained Earnings - Beginning Balance","1151271.04"
2028,"Depreciation","134250.00"
2028,"Net Income","1285521.04"
2029,"Retained Earnings - Beginning Balance","1285521.04"
2029,"Depreciation","152250.00"
2029,"Net Income","1437771.04"
2030,"Retained Earnings - Beginning Balance","1437771.04"
2030,"Depreciation","170250.00"
2030,"Net Income","1608021.04"
2031,"Retained Earnings - Beginning Balance","1608021.04"
2031,"Depreciation","15000.00"
2031,"Net Income","1623021.04"
2032,"Retained Earnings - Beginning Balance","1623021.04"
